name,processor,operating_sys,RAM_GB,RAM_Type,Storage_GB,Storage_Type,Display_cm,Display_inch,Warranty_Years,Price
ASUS Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX RTX3050Ti- ...,Intel Core i7 Processor (12th Gen),Windows 11 Operating System,16,DDR5,512,SSD,39.62,15.6,1,104000
Lenovo Yoga Slim 7 Intel EVO Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home) Carbon 13ITL5 Thin an...,Intel Core i7 Processor (11th Gen),64 bit Windows 10 Operating System,16,LPDDR4X,1024,SSD,33.78,13.3,,103990
acer Predator Helios 300 Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/N...,Free upgrade to Windows 11 when available,16 GB DDR4 RAM,,,,,,,,103990
HP Envy x360 Creator OLED Intel Evo Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) x360-bf0059T...,Intel Core i7 Processor (12th Gen),Windows 11 Operating System,16,LPDDR4X,512,SSD,33.78,13.3,1,103990
DELL XPS Core i5 11th Gen Intel EVO - (8 GB/512 GB SSD/Windows 10 Home) XPS 9310 Thin and Light Laptop,Intel Evo platform feat 11th Gen Intel Core i5 processor,8 GB LPDDR4X RAM,,,,,,,,103890
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7-6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Grap...,AMD Ryzen 7 Octa Core Processor,Windows 11 Operating System,16,DDR5,512,SSD,39.62,15.6,,103500
HP HP Envy x360 Ryzen 7 Octa Core 5800U - (16 GB/1 TB SSD/Windows 11 Home) 13-ay1037AU Thin and Light ...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,DDR4,1024,SSD,33.78,13.3,1,103500
DELL Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050Ti) G15...,Processor: Intel i7-11800H- (2.30 GHz up to 4.60 GHz) 16MB L3,Graphics: NVIDIA� GEFORCE� RTX 3050 Ti (4GB GDDR6),,DDR4,,,,,,103490
HP Ryzen 7 Quad Core 3rd Gen - (16 GB/512 GB SSD/Windows 10 Home) 13-ay0046AU 2 in 1 Laptop,AMD Ryzen 7 Quad Core Processor (3rd Gen),Windows 10 Operating System,16,DDR4,512,SSD,33.78,13.3,1,101000
ASUS Ryzen 7 Octa Core - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX RTX 3050 Ti ...,AMD Ryzen 7 Octa Core Processor,Windows 11 Operating System,16,DDR4,1024,SSD,43.94,17.3,1,99996
MICROSOFT Surface Laptop 3 Ryzen 5 Quad Core 3580U - (8 GB/128 GB SSD/Windows 10 Home) 1873 Laptop,AMD Ryzen 5 Quad Core Processor,64 bit Windows 10 Operating System,8,DDR4,128,SSD,38.1,15,1,99990
ASUS Zenbook 14 OLED (2023) Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) UM3402YA-KM74...,AMD Ryzen 7 Octa Core Processor,Windows 11 Operating System,16,LPDDR4X,512,SSD,35.56,14,1,99990
ASUS Ryzen 9 Octa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX R...,AMD Ryzen 9 Octa Core Processor (10th Gen),Windows 11 Operating System,16,DDR4,512,SSD,42.16,16.6,1,99990
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7-6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Grap...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,DDR5,512,SSD,39.62,15.6,1,99990
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7-6800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphi...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,DDR5,1024,SSD,39.62,15.6,1,99990
DELL Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) XPS 9315 Thin and Light Laptop,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16,DDR5,512,SSD,34.04,13.4,1,99990
ASUS Zenbook S 13 OLED Ryzen 5 Hexa Core 6600U - (16 GB/512 GB SSD/Windows 11 Home) UM5302TA-LX501WS T...,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,16,LPDDR5,512,SSD,33.78,13.3,1,99990
HP Victus Ryzen 7 Octa Core 6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,DDR5,512,SSD,40.89,16.1,1,99990
DELL Inspiron Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 30...,Intel Core i5 Processor (11th Gen),64 bit Windows 11 Operating System,16,DDR4,512,SSD,39.62,15.6,,99990
ASUS ZenBook S Core i7 8th Gen - (16 GB/512 GB SSD/Windows 10 Home) UX391UA-ET012T Thin and Light Lapt...,Intel Core i7 Processor (8th Gen),64 bit Windows 10 Operating System,16,DDR3,512,SSD,33.78,13.3,,99990
HP OMEN Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,DDR4,512,SSD,40.89,16.1,1,99990
DELL Ryzen 7 Octa Core AMD R7-6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce R...,Processor: AMD R7-6800H (3.20 GHz Up to 4.70 Ghz 8 cores 16MB L3 Cache),"Display & Graphics: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border & NVIDIA GEFORCE RTX 3050 (4GB GDDR6)",,DDR5,,,,,,99990
DELL Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5410 2 in 1 Laptop,Intel Core i7 Processor (11th Gen),64 bit Windows 11 Operating System,16,DDR4,512,SSD,35.56,14,,99900
DELL Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,DDR4,512,SSD,39.62,15.6,,99900
Lenovo IdeaPad Flex 5 Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14IAU7 Thin and Ligh...,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16,LPDDR4X,512,SSD,35.56,14,1,99290
MSI Alpha 15 Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/AMD Radeon RX6600...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 10 Operating System,16,DDR4,1024,SSD,39.62,15.6,,98990
ASUS Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 4GB GeForce R...,Intel Core i7 Processor (12th Gen),Windows 11 Operating System,16,DDR4,1024,SSD,39.62,15.6,1,98900
ASUS Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) K6500ZE-L501WS Laptop,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16,DDR5,512,SSD,39.62,15.6,1,98900
ASUS Ryzen 7 Quad Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RTX3050- ...,AMD Ryzen 7 Quad Core Processor (10th Gen),Windows 11 Operating System,16,DDR4,512,SSD,39.62,15.6,1,98500
ASUS Vivobook Pro 14X OLED with ASUS DialPad Ryzen 9 Octa Core AMD R9-5900HX - (16 GB/1 TB SSD/Windows...,AMD Ryzen 9 Octa Core Processor,64 bit Windows 10 Operating System,16,DDR4,1024,SSD,35.56,14,,98091
ASUS TUF Dash F15 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,Intel Core i7 Processor (12th Gen),Windows 11 Operating System,16,DDR5,1024,SSD,39.62,15.6,1,97990
ASUS Zenbook 14X (2022) Space Edition Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX5401ZAS-...,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16,LPDDR5,512,SSD,35.56,14,,97990
Lenovo IdeaPad Flex 5 Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,LPDDR4X,512,SSD,35.56,14,1,97890
HP Intel Core i5 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) 15-ep0011TX Laptop,Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,16,DDR4,512,SSD,39.62,15.6,,97500
DELL G15 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce RTX 3050Ti/120 H...,NVIDIA GEFORCE RTX 3050 Ti,Improved thermal design with copper pipes & vents,,,,,,,,96999
ASUS TUF Gaming A15 (2022) Ryzen 7 Octa Core 6800HS - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NV...,AMD Ryzen 7 Octa Core Processor,Windows 11 Operating System,16,DDR5,1024,SSD,39.62,15.6,1,96990
Lenovo IdeaPad Gaming Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,DDR4,512,SSD,39.62,15.6,1,96990
acer Predator Helios 300 Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/N...,Intel Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,16,DDR4,1024,SSD,39.62,15.6,,96990
ASUS Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX RTX 3050Ti)...,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16,DDR5,512,SSD,39.62,15.6,1,96500
HP Victus Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) ...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,16,DDR4,512,SSD,39.62,15.6,1,96380
ASUS Ryzen 7 Dual Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) FA577RE-HN055WS Lap...,AMD Ryzen 7 Dual Core Processor (10th Gen),Windows 11 Operating System,16,DDR5,512,SSD,39.62,15.6,1,96085
ASUS ROG Flow X13 Ryzen 7 Octa Core 5800HS - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeFo...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 10 Operating System,16,LPDDR4X,1024,SSD,34.04,13.4,,96000
ASUS Zenbook 14 OLED (2023) Ryzen 5 Hexa Core 7530U - (16 GB/1 TB SSD/Windows 11 Home) UM3402YA-KM551W...,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,16,LPDDR4X,1024,SSD,35.56,14,1,95990
acer Predator Helios 300 Core i7 11th Gen - (16 GB/1 TB HDD/512 GB SSD/Windows 10 Home/4 GB Graphics/N...,Intel Core i7 Processor (11th Gen),64 bit Windows 10 Operating System,16,DDR4,1024,SSD,39.62,15.6,,95990
ASUS TUF Gaming F15 (2022) Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,16,DDR5,512,SSD,39.62,15.6,1,95500
HP Victus Ryzen 7 Octa Core 6800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,8,DDR5,512,SSD,40.89,16.1,1,95190
Lenovo Yoga Slim 7 Intel EVO Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home) Yoga Slim 7 14ITL05b ...,Intel Core i7 Processor (11th Gen),64 bit Windows 10 Operating System,16,DDR4,1024,SSD,35.56,14,,95000
Lenovo Legion 5 Intel Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,Intel Core i7 Processor (11th Gen),64 bit Windows 10 Operating System,16,DDR4,512,SSD,39.62,15.6,,94990
ASUS TUF Gaming F17 (2022) with 90Whr Battery Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 G...,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,16,DDR5,512,SSD,43.94,17.3,1,94990
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN93HN/A,Apple M1 Processor,Mac OS Operating System,8,DDR4,256,SSD,33.78,13.3,,94990
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGND3HN/A,Apple M1 Processor,Mac OS Operating System,8,DDR4,256,SSD,33.78,13.3,,94990
Infinix ZERO BOOK ULTRA Series Laptop Intel Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home) ZL12 B...,Intel Core i9 Processor (12th Gen),Windows 11 Operating System,32,LPDDR5,1024,SSD,39.62,15.6,1,94990
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,Apple M1 Processor,Mac OS Operating System,8,DDR4,256,SSD,33.78,13.3,,94990
HP Victus Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050Ti...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,16,DDR4,512,SSD,39.62,15.6,1,94990
DELL Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Inspiron 7420 Thin and Light ...,Processor: Intel i7-1255U (Base- 3.50 GHz & Turbo up to 4.70 GHz) 10 Cores,Graphics & Keyboard: NVIDIAGeForceMX550 (2GB GDDR6) + Fingerprint Reader,,DDR4,,,,,,94990
HP Victus Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX...,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,16,DDR4,512,SSD,40.89,16.1,1,94990
GIGABYTE G5 KE-52IN213SH Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,16,DDR4,512,SSD,39.62,15.6,2,94990
acer Swift X Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) SFX16-51G Laptop,Intel Core i5 Processor (11th Gen),64 bit Windows 11 Operating System,16,LPDDR4X,512,SSD,40.89,16.1,,94990
HP Ryzen 7 Octa Core 5800U - (16 GB/512 GB SSD/Windows 11 Home) x360-ay1064au Thin and Light Laptop,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,DDR4,512,SSD,33.78,13.3,1,94500
MICROSOFT Surface Laptop 3 Core i5 10th Gen - (8 GB/128 GB SSD/Windows 10 Home) 1867 Laptop,Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,8,LPDDR4X,128,SSD,33.02,13,1,94490
DELL Core i5 12th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home/2 GB Graphics) Inspiron 3520 Thin an...,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,8,DDR4,1024,SSD,39.62,15.6,1,94075
Lenovo Thinkbook Convertible Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) TB14s ITL Yoga 2 in...,Intel Core i7 Processor (11th Gen),64 bit Windows 10 Operating System,16,DDR4,512,SSD,35.56,14,,93999
HP Pavilion Plus Creator OLED (2023) Intel H-Series Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,16,DDR4,1024,SSD,35.56,14,,93990
ASUS Pro P5 Core i7 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Pro) Pro P5 P5440FA Thin and Light ...,Intel Core i7 Processor (8th Gen),64 bit Windows 10 Operating System,8,DDR4,1024,SSD,35.56,14,1,93990
HP Envy x360 Creator OLED Intel Evo Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) x360-bf0058T...,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16,LPDDR4X,512,SSD,33.78,13.3,1,93990
MSI GF65 Thin Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 3060...,Intel Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,16,DDR4,1024,SSD,39.62,15.6,,93490
HP Pavilion Core i7 11th Gen - (16 GB/1 TB SSD/Windows 11 Home) 14-dv1029TU Thin and Light Laptop,Intel Core i7 Processor (11th Gen),64 bit Windows 11 Operating System,16,DDR4,1024,SSD,35.56,14,,93000
ASUS Ryzen 9 Octa Core 9th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050...,AMD Ryzen 9 Octa Core Processor (9th Gen),Windows 11 Operating System,16,DDR4,1024,SSD,39.62,15.6,1,92990
ASUS Zenbook 14 OLED Touch Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX3402ZA-KN531WS Thin...,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16,LPDDR5,512,SSD,35.56,14,1,92990
MSI Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) Thin G...,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16,DDR4,512,SSD,39.62,15.6,2,92990
acer ConceptD 5 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) CN515-51 Thin and Li...,Intel Core i5 Processor (8th Gen),64 bit Windows 10 Operating System,8,DDR4,512,SSD,39.62,15.6,,92990
Lenovo IdeaPad Flex 5 Intel Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14ITL05 2 in 1 Lapto...,Intel Core i7 Processor (11th Gen),64 bit Windows 10 Operating System,16,DDR4,512,SSD,35.56,14,,92890
HP Core i5 13th Gen - (16 GB/1 TB SSD/Windows 11 Home) 14-ek1010TU Thin and Light Laptop,Intel Core i5 Processor (13th Gen),64 bit Windows 11 Operating System,16,DDR4,1024,SSD,35.56,14,1,92746
HP Core i5 13th Gen - (16 GB/1 TB SSD/Windows 11 Home) 14-ek1009TU Thin and Light Laptop,Intel Core i5 Processor (13th Gen),64 bit Windows 11 Operating System,16,DDR4,1024,SSD,35.56,14,1,92746
Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig...,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,16,LPDDR4X,512,SSD,35.56,14,1,92290
ASUS Zenbook 14 Flip Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home) UN5401QA-KN511WS 2 i...,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 Operating System,16,LPDDR4X,512,SSD,35.56,14,1,91990
DELL Inspiron Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5420 Thin and Light Lapto...,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16,DDR4,512,SSD,35.56,14,1,91958
HP Pavilion x360 Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-ek0088TU Thin and Light Lapt...,Intel Core i7 Processor (12th Gen),Windows 11 Operating System,16,DDR4,512,SSD,35.56,14,1,91500
ASUS Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX RTX 3050 4G...,Intel Core i7 Processor (12th Gen),Windows 11 Operating System,16,DDR4,512,SSD,39.62,15.6,1,91400
ASUS Vivobook Pro 14 OLED (2021) Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 10 Home/4 ...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 10 Operating System,16,DDR4,512,SSD,35.56,14,,90990
ASUS ExpertBook P2 Core i7 10th Gen - (8 GB/1 TB HDD/Windows 10 Pro/2 GB Graphics) ExpertBook P2 P2451...,Intel Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,8,DDR4,1024,HDD,35.56,14,3,90490
ASUS TUF Dash F15 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,16,DDR4,512,SSD,39.62,15.6,,90488
Lenovo Yoga Slim 7 Intel EVO Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14ITL5 2 in 1 Lapto...,Intel Core i5 Processor (11th Gen),64 bit Windows 10 Operating System,16,DDR4,512,SSD,35.56,14,,90000
Lenovo Yoga 6 Ryzen 5 Hexa Core 5500U - (16 GB/1 TB SSD/Windows 11 Home) Yoga 6 Thin and Light Laptop,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 Operating System,16,LPDDR4X,1024,SSD,33.78,13.3,,89998
SAMSUNG Galaxy Book3 Core i7 Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin a...,Intel Core i7 Processor (13th Gen),Windows 11 Operating System,16,LPDDR4X,512,SSD,39.62,15.6,1,89990
ASUS Vivobook Pro 15 OLED Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,16,LPDDR5,512,SSD,39.62,15.6,1,89990
ASUS Vivobook Pro 15 OLED Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,16,LPDDR5,512,SSD,39.62,15.6,1,89990
DELL Inspiron 15 7000 Series Core i7 8th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/2 GB Graphics...,Intel Core i7 Processor (8th Gen),64 bit Windows 10 Operating System,8,DDR4,1024,SSD,39.62,15.6,,89990
ASUS Zenbook 14 OLED (2023) Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) UM3402YA-KM54...,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,16,LPDDR4X,512,SSD,35.56,14,1,89990
SAMSUNG Galaxy Book3 Core i7 Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin a...,Intel Core i7 Processor (13th Gen),Windows 11 Operating System,16,LPDDR4X,512,SSD,39.62,15.6,1,89990
HP Pavilion Intel Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home) 15-EG2039TU Thin and Light Lapto...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,16,DDR4,1024,SSD,39.62,15.6,,89990
ASUS Zenbook Flip 14 OLED (2022) Touch Panel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) UP5...,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,16,LPDDR5,512,SSD,35.56,14,1,89990
LG Gram Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14Z90Q Thin and Light Laptop,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,8,DDR5,512,SSD,35.56,14,3,89990
DELL Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5320 Thin and Light Laptop,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,16,DDR5,512,SSD,33.78,13.3,1,89990
ASUS Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3502ZA-L702WS Laptop,Intel Core i7 Processor (12th Gen),Windows 11 Operating System,16,DDR5,512,SSD,39.62,15.6,1,89990
DELL Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5320 Laptop,Intel Core i7 Processor (12th Gen),Windows 11 Operating System,16,LPDDR4,512,SSD,33.78,13.3,1,89990
acer Nitro 5 Ryzen 7 Hexa Core 7735HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce ...,AMD Ryzen 7 Hexa Core Processor,64 bit Windows 11 Operating System,8,DDR5,512,SSD,39.62,15.6,1,89990
DELL Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5415 Thin and Light Laptop,AMD Ryzen 7 Octa Core Processor,Windows 11 Operating System,16,DDR4,512,SSD,35.56,14,1,89976
DELL G15 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce RTX 3050)...,NVIDIA GEFORCE RTX 3050,Improved thermal design with copper pipes & vents,,,,,,,,89890
ASUS TUF Gaming A15 with 90Whr Battery Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 G...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,DDR4,512,SSD,39.62,15.6,1,89690
HP Victus Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,DDR4,512,SSD,40.89,16.1,,89500
HP Envy x360 Creator OLED Intel Evo Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15-ew0043TU ...,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16,DDR4,512,SSD,39.62,15.6,1,89490
MSI GP65 Leopard Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Ge...,"15.6 inches Full HD IPS Thin Bezel Display (144Hz, 45% NTSC Color Gamut)",16 GB DDR4 RAM,,,,,,,,88999
DELL Inspiron Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 7620 2 in 1 Laptop,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,16,DDR4,512,SSD,40.64,16,,88490
ASUS Vivobook Pro 15 OLED Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,16,LPDDR5,512,SSD,39.62,15.6,1,89990
DELL Inspiron 15 7000 Series Core i7 8th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/2 GB Graphics...,Intel Core i7 Processor (8th Gen),64 bit Windows 10 Operating System,8,DDR4,1024,SSD,39.62,15.6,,89990
ASUS Zenbook 14 OLED (2023) Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) UM3402YA-KM54...,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,16,LPDDR4X,512,SSD,35.56,14,1,89990
DELL Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5415 Thin and Light Laptop,AMD Ryzen 7 Octa Core Processor,Windows 11 Operating System,16,DDR4,512,SSD,35.56,14,1,89976
DELL G15 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce RTX 3050)...,NVIDIA GEFORCE RTX 3050,Improved thermal design with copper pipes & vents,,,,,,,,89890
