name,processor,operating_sys,RAM_GB,RAM_Type,Storage_GB,Storage_Type,Display_cm,Display_inch,Warranty_Years,Price
HP Core i9 12th Gen - (32 GB/2 TB HDD/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForce RTX 3080 ...,Intel Core i9 Processor (12th Gen),Windows 11 Operating System,32,DDR5,2048,SSD,43.18,17,1,298000
ASUS ROG Flow X13 (2022) with Radeon RX 6850M XT eGPU Ryzen 7 Octa Core 6800HS - (32 GB/1 TB SSD/Windo...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,32,LPDDR5,1024,SSD,34.04,13.4,1,284990
ASUS ROG Strix SCAR 15 (2022) Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA...,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,32,DDR5,1024,SSD,39.62,15.6,1,281990
ASUS ROG Strix SCAR 15 Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForc...,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,32,DDR5,1024,SSD,39.62,15.6,1,281990
DELL Allienware Core i7 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 30...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,32,DDR5,1024,SSD,39.62,15.6,1,280490
ASUS ROG Strix SCAR 16 (2023) Core i9 13th Gen - (32 GB/1 TB SSD/Windows 11 Home/12 GB Graphics/NVIDIA...,Intel Core i9 Processor (13th Gen),Windows 11 Operating System,32,DDR5,1024,SSD,40.64,16,1,279990
ASUS ROG Strix SCAR 18 (2023) Core i9 13th Gen - (32 GB/1 TB SSD/Windows 11 Home/12 GB Graphics/NVIDIA...,Intel Core i9 Processor (13th Gen),Windows 11 Operating System,32,DDR5,1024,SSD,45.72,18,1,279990
MSI Stealth GS66 Core i7 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,32,DDR5,1024,SSD,39.62,15.6,2,275990
ASUS Core i9 10th Gen - (32 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 2060) UX581LV...,Intel Core i9 Processor (10th Gen),64 bit Windows 10 Operating System,32,DDR4,1024,SSD,39.62,15.6,,269990
APPLE 2023 MacBook Pro M2 Pro - (16 GB/1 TB SSD/macOS Ventura) MNWD3HN/A,Apple M2 Pro Processor,Mac OS Operating System,16,Unified Memory,1024,SSD,40.64,16,1,269900
